作品ID,作品名,作品名読み,ソート用読み,副題,副題読み,原題,初出,分類番号,文字遣い種別,作品著作権フラグ,公開日,最終更新日,図書カードURL,人物ID,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,人物著作権フラグ,底本名1,底本出版社名1,底本初版発行年1,入力に使用した版1,校正に使用した版1,底本の親本名1,底本の親本出版社名1,底本の親本初版発行年1,底本名2,底本出版社名2,底本初版発行年2,入力に使用した版2,校正に使用した版2,底本の親本名2,底本の親本出版社名2,底本の親本初版発行年2,入力者,校正者,テキストファイルURL,テキストファイル最終更新日,テキストファイル符号化方式,テキストファイル文字集合,テキストファイル修正回数,XHTML/HTMLファイルURL,XHTML/HTMLファイル最終更新日,XHTML/HTMLファイル符号化方式,XHTML/HTMLファイル文字集合,XHTML/HTMLファイル修正回数
043717,創世記考,そうせいきこう,そうせいきこう,,,,,NDC 913,新字新仮名,あり,2004-12-15,2019-06-02,https://www.aozora.gr.jp/cards/000151/card43717.html,000151,西府,章,さいふ,あきら,さいふ,あきら,Saifu,Akira,著者,,,あり,,,,,,,,,,,,,,,,,西府章,,,,,,,http://akirahp.s199.coreserver.jp/Gen1-2.html,2019-06-02,ShiftJIS,JIS X 0208,2
000808,対州風聞書,たいしゅうふうぶんがき,たいしゆうふうふんかき,,,,,NDC 913,新字新仮名,あり,2000-03-24,2019-06-02,https://www.aozora.gr.jp/cards/000151/card808.html,000151,西府,章,さいふ,あきら,さいふ,あきら,Saifu,Akira,著者,,,あり,,,,,,,,,,,,,,,,,西府章,,,,,,,http://akirahp.s199.coreserver.jp/novel_TFG.html,2019-06-02,ShiftJIS,JIS X 0208,4
043716,夏のオリオン,なつのオリオン,なつのおりおん,,,,,NDC 913,新字新仮名,あり,2004-12-15,2019-06-02,https://www.aozora.gr.jp/cards/000151/card43716.html,000151,西府,章,さいふ,あきら,さいふ,あきら,Saifu,Akira,著者,,,あり,,,,,,,,,,,,,,,,,西府章,,,,,,,http://akirahp.s199.coreserver.jp/Orion1-6.html,2019-06-02,ShiftJIS,JIS X 0208,3
000347,易経,えききょう,えききよう,,,,,NDC 123 148,その他,あり,1997-09-03,2014-09-17,https://www.aozora.gr.jp/cards/000088/card347.html,001529,作者不詳,,さくしゃふしょう,,さくしやふしよう,,Sakushafusho,,著者,,,なし,江戸明治期の木版本,,,,,中国古典,,,,,,,,,,,師尾潤、長谷川集平,,,,,,,,,,,
000672,落窪物語,おちくぼものがたり,おちくほものかたり,,,,,NDC 913,新字新仮名,あり,1998-10-06,2014-09-17,https://www.aozora.gr.jp/cards/001529/card672.html,001529,作者不詳,,さくしゃふしょう,,さくしやふしよう,,Sakushafusho,,著者,,,なし,,,,,,,,,,,,,,,,,長谷悟,,http://www.geocities.jp/hase5732/index.html,2006-11-29,ShiftJIS,JIS X 0208,1,,,,,
000516,こんちりさんのりやく,こんちりさんのりやく,こんちりさんのりやく,,,,,NDC 198,新字新仮名,あり,1997-09-03,2014-09-17,https://www.aozora.gr.jp/cards/000088/card516.html,001529,作者不詳,,さくしゃふしょう,,さくしやふしよう,,Sakushafusho,,著者,,,なし,,,,,,長崎大司教館所蔵,,,,,,,,,,,長谷川集平,,,,,,,,,,,
000409,実語教,じつごきょう,しつこきよう,,,,,NDC 150 375,その他,なし,1998-09-25,2014-09-17,https://www.aozora.gr.jp/cards/001529/card409.html,001529,作者不詳,,さくしゃふしょう,,さくしやふしよう,,Sakushafusho,,著者,,,なし,文政新版　實語教繪鈔,京阪書林,1820（文政3）年,,,,,,,,,,,,,,藤下真潮,,,,,,,http://www.asahi-net.or.jp/~xn2m-fjst/jitugo.htm,2002-08-29,ShiftJIS,JIS X 0208,1
058700,門にて,もんにて,もんにて,,,AT THE GATE,,NDC 933,新字新仮名,あり,2018-11-01,2018-10-24,https://www.aozora.gr.jp/cards/001950/card58700.html,001834,The Creative CAT,,ザ・クリエイティヴ・キャット,,さくりえいていうきやつと,,The Creative CAT,,翻訳者,,,あり,,,,,,,,,,,,,,,,,The Creative CAT,,http://www.asahi-net.or.jp/~YZ8H-TD/misc/monnite.zip,2017-07-16,ShiftJIS,JIS X 0208,0,http://www.asahi-net.or.jp/~YZ8H-TD/misc/monnite.html,2017-07-22,ShiftJIS,JIS X 0208,0
000670,尾なし犬,おなしいぬ,おなしいぬ,,,,,NDC 913,新字新仮名,あり,1998-12-01,2022-02-28,https://www.aozora.gr.jp/cards/000054/card670.html,000054,佐野,良二,さの,りょうじ,さの,りようし,Sano,Ryoji,著者,1940,,あり,闇の力,構想社,1996（平成8）年6月25日,,,,,,,,,,,,,,佐野良二,,http://ryoji-kobo.jp/yamino/onashi.zip,2022-02-28,ShiftJIS,JIS X 0208,4,http://ryoji-kobo.jp/yamino/onashi.htm,2022-02-28,ShiftJIS,JIS X 0208,4
000364,五味氏の宝物,ごみしのたからもの,こみしのたからもの,,,,,NDC 913,新字新仮名,あり,1998-11-22,2022-02-28,https://www.aozora.gr.jp/cards/000054/card364.html,000054,佐野,良二,さの,りょうじ,さの,りようし,Sano,Ryoji,著者,1940,,あり,『北方文芸』第28巻332号,北方文芸刊行会,1995（平成7）年9月号,,,,,,,,,,,,,,佐野良二,,http://ryoji-kobo.jp/gomishi/gomishi.zip,2022-02-28,ShiftJIS,JIS X 0208,4,http://ryoji-kobo.jp/gomishi/gomishi.htm,2022-02-28,ShiftJIS,JIS X 0208,4
